Paramhans_Name,No_Of_Questions
મુક્તાનંદ  સ્વામી,84
નિત્યાનંદ  સ્વામી,23
બ્રહ્માનંદ  સ્વામી,15
સ્વયંપ્રકાશાનંદ  સ્વામી,11
શુકમુનિ  સ્વામી,10
ગોપાળાનંદ  સ્વામી,9
શિવાનંદ  સ્વામી,8
ચૈતન્યાનંદ  સ્વામી,6
ભગવદાનંદ  સ્વામી,5
અખંડાનંદ  સ્વામી,5
નિર્વિકારાનંદ  સ્વામી,5
ભજનાનંદ  સ્વામી,4
નૃસિંહાનંદ  સ્વામી,4
આત્માનંદ  સ્વામી,4
મહાનુભાવાનંદ  સ્વામી,3
આનંદાનંદ  સ્વામી,2
નિર્માનાનંદ  સ્વામી,2
સચ્ચિદાનંદ  સ્વામી,1
પરમાનંદ  સ્વામી,1
યોગાનંદ  સ્વામી,1
નિષ્કુળાનંદ  સ્વામી,1
પૂર્ણાનંદ  સ્વામી,1
અચિંત્યાનંદ  સ્વામી,1
આધારાનંદ  સ્વામી,1
કપિલેશ્વરાનંદ  સ્વામી,1
ત્યાગાનંદ  સ્વામી,1
ત્રિગુણાતીતાનંદ  સ્વામી,1
દહરાનંદ  સ્વામી,1
નારાયણાનંદ  સ્વામી,1
નિર્મળાનંદ  સ્વામી,1
નિર્લોભાનંદ  સ્વામી,1
પરમચૈતન્યાનંદ  સ્વામી,1
પરમેશ્વરનંદ  સ્વામી,1
પ્રતોષાનંદ  સ્વામી,1
પ્રસાદાનંદ  સ્વામી,1
ભૂધરાનંદ  સ્વામી,1
લક્ષ્મણાનંદ  સ્વામી,1
વેદાંતાનંદ  સ્વામી,1
શાંતાનંદ  સ્વામી,1
શૂન્યાતીતાનંદ  સ્વામી,1
શ્રીગુરુચરણરતાનંદ  સ્વામી,1
રામાનંદ  સ્વામી,0
શ્રીરામાનંદ  સ્વામી,0
સચ્ચિદાનંદરૂપ  સ્વામી,0
પરમાનંદં  સ્વામી,0
પ્રજ્ઞાનાનંદ  સ્વામી,0
પ્રેમાનંદ  સ્વામી,0
સ્વરૂપાનંદ  સ્વામી,0
સ્વાયંપ્રકાશાનંદ  સ્વામી,0
